miRNA	DOID	Disease	Expression	Method	Description	target	tarbase	Years	PMID	Causal
hsa-miR-186	5520	head and neck squamous cell carcinoma (HNSCC)	down-regulated	microarray	Differentially expressed following hypoxia in SCC cells.	unknown	unknown	2007	17222355	Unspecified
hsa-miR-222	10223	dermatomyositis (DM)	up-regulated	microarray	Commonly dysregulated miRNA in five or more types of muscular disorders.	unknown	KIT	2007	17942673	Unspecified
hsa-miR-106a	1985	colorectal cancer	up-regulated	"Northern blot, qRT-PCR etc"	"Expression patterns for these 5 microRNAs(miR-20a, miR-21, miR-106a, miR-181b, and miR-203) distinguish tumor vs paired nontumor status with 96% or 98% accuracy based on 3 nearest neighbors or nearest centroid algorithms, respectively (10-fold cross validation, repeated 100 times)."	unknown	RB1	2008	18230780	Unspecified
hsa-miR-125b-2	684	hepatocellular carcinoma (HCC)	down-regulated	"Northern blot, qRT-PCR etc"	survival-related and metastasis-related miRNA.	unknown	unknown	2008	18176954	Unspecified
hsa-miR-147	9119	acute promyelocytic leukemia (APL)	up-regulated	"Northern blot, qRT-PCR etc"	differentially expressed during ATRA treatment of NB4 cells	unknown	unknown	2007	17260024	Unspecified
hsa-miR-195	10286	prostate cancer	down-regulated	"Northern blot, qRT-PCR etc"	Differential expression in the prostate carcinoma samples compared with the benign prostatic					
hyperplasia samples.	unknown	unknown	2007	17616669	Unspecified	0	6			
hsa-miR-433	14330	Parkinson's disease	normal	"Northern blot, qRT-PCR etc"	"The risk allele for rs12720208 disrupts a binding site for microRNA-433, increasing translation of FGF20 in vitro and in vivo. In a cell-based system and in Parkinson disease (PD) brains, this increase in translation of FGF20 is correlated with increased a-synuclein expression, which has previously been shown to cause PD through both overexpression and point mutations."	FGF20	unknown	2008	18252210	Causal
hsa-miR-518b	9088	psoriasis	down-regulated	microarray	Showing more than 1.7-fold change between psoriasis and healthy skin.	unknown	unknown	2007	17622355	Unspecified
hsa-miR-9*	8524	follicular lymphoma (FL)	up-regulated	microarray	"Nine miRNAs (hsa-miR-9, hsa-miR-301, hsa-miR-213, hsa-miR-9*, hsa-miR-330, hsa-miR-106a, hsa-miR-338, hsa-miR-155, hsa-miR-210) were significantly up- and three miRNAs (hsa-miR-320, hsa-miR-149, hsa-miR-139) down-regulated in the lymphoma samples. Expression of hsa-miR-9 was most strongly increased (12-fold) and of hsa-miR-320 most strongly decreased (3-fold)."	unknown	unknown	2008	18537969	Unspecified
hsa-miR-99a	4905	pancreatic cancer	up-regulated	microarray	Differentially Expressed MicroRNA in pancreatic cancer compared to Normal Pancreas.	unknown	unknown	2007	17473300	Unspecified
hsa-miR-122a	8894	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	miRNAs frequently down-regulated in OSCC cell lines(<0.5-fold expression).	unknown	unknown	2008	18381414	Unspecified
hsa-miR-130a	684	hepatocellular carcinoma (HCC)	down-regulated	microarray	"One of the miRNAs differentially expressed between human HCC and LC.To validate their ability to correctly distinguish HCC or cirrhosis tissue types, the 35 deregulated miRNAs were assayed using the algorithms SVM and PAM. PAM correctly classified 86% of the samples and SVM classified 91%."	unknown	unknown	2007	17616664	Unspecified
hsa-miR-143	3905	lung cancer	down-regulated	microarray	One of the forty-three miRNAs differentially expressed in lung cancer tissues versus noncancerous lung tissues.	unknown	unknown	2006	16530703	Unspecified
hsa-miR-199a*	1909	uveal melanoma	up-regulated	microarray	"The top six miRNA discriminators ( let-7b, miR-199a,miR-199a*, miR-143, miR-193b, and miR-652) accurately distinguished class 1 (low metastatic risk) from class 2 (high metastatic risk) with 100% sensitivity and specificity."	unknown	unknown	2008	18477892	Unspecified
hsa-miR-200c	5745	serous ovarian cancer	up-regulated	"Northern blot, qRT-PCR etc"	"Differentially expressed miRNAs with>2-fold change in tumor versus normal ovarian tissues in at least 12 of 20 ovarian cancer patients. Higher expression of miR-200a, miR-200b, miR-200c, miR-141, miR-18a, miR-93, and miR-429, and lower expression of ambi-miR-7039, let-7b, and miR-199a were significantly correlated with decreased progression-free survival and overall survival."	unknown	unknown	2008	18451233	Unspecified
hsa-miR-155	3969	papillary thyroid carcinoma (PTC)	up-regulated	microarray	Differentially expressed miRNA in PTC tumors	unknown	AGTR1	2005	16365291	Unspecified
hsa-let-7f	2144	ovarian cancer (OC)	down-regulated	microarray	Differentially expressed miRNA in ovarian cancer tissues and cell lines.	unknown	unknown	2008	18560586	Unspecified
hsa-let-7f	10286	prostate cancer	down-regulated	microarray	Differential expression in the prostate carcinoma samples compared with the benign prostatic					
hyperplasia samples.	unknown	unknown	2007	17616669	Unspecified	0	18			
hsa-let-7f-1	3459	breast cancer	up-regulated	"Northern blot, qRT-PCR etc"	miRNA precursors with significantly different expression.	unknown	unknown	2005	16192569	Unspecified
hsa-let-7f-1	1985	colorectal cancer	up-regulated	"Northern blot, qRT-PCR etc"	miRNA precursors with significantly different expression.	unknown	unknown	2005	16192569	Unspecified
hsa-let-7f-1	3905	lung cancer	up-regulated	"Northern blot, qRT-PCR etc"	miRNA precursors with significantly different expression.	unknown	unknown	2005	16192569	Unspecified
